screen_name,tweets,tweet_location
GiGiCapone,NEWS: Watch Slipknot's Corey Taylor Slap the Sh-t Out of NXT's Baron Corbin: Slipknot's Corey Taylor isn... https://t.co/spze9upOCc #GCPR,"Washington, DC"
GiGiCapone,NEWS: On the Charts: Pentatonix's Self-Titled LP Grabs Number One: A capella group Pentatonix scooped up... https://t.co/6qGb04wkDi #GCPR,"Washington, DC"
KemiEgan,The only difference between a rich person and poor person is how they use their time. - Robert Kiyosaki,"Washington, DC"
MiaFleur_home,Finally got my A into G and found THE dress for the @AmaraIBAs on Weds... I'm basically going to look like Christmas _Ù_ã‰Ï¬ #IBA15,"Washington, DC"
SimplyVille,I keep looking at it like you know you are not the cats but you will be going too...,"Washington, DC"
3345Live,#NowPlaying D.J. Jazzy Jeff and the Fresh Prince - Summertime https://t.co/tmFU4qgPS3 #3345live,"Washington, DC"
VGApprentice,I liked a @YouTube video https://t.co/DOMunoXmG4 (YTP) - The Gay Video Game Nerd Plays Titanic,"Washington, DC"
kawaiihemm,HALLOWEEN IS IN 5 DAYS AND I ACTUALLY HAVE A COSTUME HOORAY FOR ME,"Washington, DC"
diablohxran,2 tweeps followed (thank you!) and 4 unfollowed (goodbye!) me in the past week. Thank you https://t.co/tK5vtKmqEK.,"Washington, DC"
dreamscapenjh,I TEXTED THIS SUPER CUTE AUTISTIC KID THE LINK TO DRAG ME DOWN AND HE LOVED IT AND BOUGHT IT ON ITUNES AND THANKED ME 4 TIMES TODAY AW AW AW,"Washington, DC"
zionfromyigo,"my teachers use to call my mama on me , now I'm a gangsta and I could fuck my mamas homies_Ù_¦","Washington, DC"
indik,*whines piteously* I know I'm gearing up for another sinus infection. I'm constantly congested and all I want is sleep. Doctor on Thursday.,"Washington, DC"
Baconator166,@SLUTovsky that only happened twice! Both times were confusing moments of happiness and sadness quit picking on me #bullyprevention,"Washington, DC"
ShitApolloYells,"(Surgical enhancements are for a different part of the body, and, I was kidding...)","Washington, DC"
FlashMyBuckle,Bette Midler Says a Hocus Pocus Sequel Is Delayed Because They Can't Find a Virgin and People Are Devastated https://t.co/HpB4q23wSJ,"Washington, DC"
PertinaxHellcat,|| Because it's Jensen Ackles and he's a babe.  https://t.co/2oANOF1c7j,"Washington, DC"
WorcsFaithful,This can only now be ruined if we're moved to the Monday night game. Praying it won't happen.,"Washington, DC"
Mlj845,@ihateyrself @PBandJenelley_1 and one sitting next to her! Talent!,"Washington, DC"
thepoliticogal,@screwlabour @lproudfoot1 because those children will be the taxpayers who fund your state pension....,"Washington, DC"
Kialna,"@sasvde Duh! It‰Ûªs what we‰Ûªre famous for, as well as it being one of our biggest export products. The ACTUAL music is #1","Washington, DC"
bazys_com,Legend Of The Seven Star https://t.co/ALnqX3xYjJ  #star #seven #the #of #legend,"Washington, DC"
Styles2blaze1,"_ÙÄ_Ù NEW ARRIVAL _Ù_ÙÄ
Get 'Cyna' $37.50
Available in Black and Wine
Size - Small Medium Large _ÙâShop this‰Û_ https://t.co/buvlbdt8ot","Washington, DC"
billboard,".@TheWeeknd tops the #Hot100 (again!), but will @Adele be No. 1 next week? https://t.co/obxvCPKRG2","Washington, DC"
ThePhatStartup,"Success is slow cooked, making sure you account for everything and working hard every day, for every‰Û_ https://t.co/6WZjPC51NC","Washington, DC"
myBekins,Are you moving in with a roommate or significant other? Use these tips to help smooth the transition! https://t.co/Mkfyqc0NH5,"Washington, DC"
IILGlobal,"Be #sustainable, not ‰ÛÏcheap.‰Û Save your business some money and the #environment while you‰Ûªre already at it: https://t.co/eVXHTDX8TR","Washington, DC"
OximityWomenRts,Domestic Violence Awareness and the LGBT Community https://t.co/dPLp9jKM0d #UnitedStates #LGBT,"Washington, DC"
Shutterstock,@BpackEngineer Thank you for your patience while we take care of the issue!,"Washington, DC"
PikePodcasting,.@Drake 1st artist to sell #Platinum of an album released in 2015. Sign of the times. https://t.co/MyegNZtynJ https://t.co/UzCiIRWwJT,"Washington, DC"
MacTrast,A 3D Touch-capable app answers the age-old question: Which one of my plums is the biggest! https://t.co/KcipTDjZm1 https://t.co/3pd3O1kFfe,"Washington, DC"
MichealDayoung,Eme RnB singer comes through with yet another catchy tune but this time around is the remix of his previously... https://t.co/jCJje7p9ux,"Washington, DC"
etailPR,If you have written a wishlist piece for @MotelRocks on their latest competition on the network - DON'T FORGET TO UPLOAD IT! #fbloggers,"Washington, DC"
localsexdating,#Photo: I like to #party up on the weekends ... https://t.co/VqMxn6EXxt  #girlnextdoor #pickuplines https://t.co/fvg2elecpi,"Washington, DC"
donorhut,"@SimpleTurtles Hey Simple Turtle crew! Thanks for the follow. Your site has piqued our interest, it looks like a great service for WP users.","Washington, DC"
Dropgist,Mikel‰Ûªs Obi F!ancÌ©e Olga Sh0ws Off Lovely Photos Of The!r TwinåÊK!ds https://t.co/Fj3O236WfC https://t.co/Ft9vCcwg0F,"Washington, DC"
ENT_GISTS,"NBD, This Comet Is Spewing Gallons of Wine In Space: Scientists have discovered that the comet Lovejoy is spew... https://t.co/dAXlrm3ruV","Washington, DC"
The_Sweeper999,@ChantelleHxxx have u ever had 81 retweets Chantelle? @KravenMoor_Head,"Washington, DC"
ENT_GISTS,"Jack ÌÏ‰Ûªs New ‰Û÷To ÌÏ‰Ûª Video Will Make You Want To Kiss The Next Person You See: Jack U's newest video for ""To U,... https://t.co/mFTWthWnin","Washington, DC"
appsoncampus,"@paynissime Can you help me spread the word about my app, Scope? Find out more: https://t.co/oHtT63GaFU","Washington, DC"
appsoncampus,"@Britney_r5 Can you help me spread the word about my app, Scope? Find out more: https://t.co/oHtT63GaFU","Washington, DC"
LosHalepenos,Pop culture quiz via WTA _Ù÷_ @Simona_Halep  is o cute and knows the https://t.co/1OwMVovTg2,"Washington, DC"
BrokerageTOMO,We pose the Questions - A new way of looking #DMZ #GroundBreaking  https://t.co/wbHBbLpda9,"Washington, DC"
TOMOPortfolio,Chef Radio on the Internet 24/7 - A new way of listening #DMZ #Innovative  https://t.co/q76YuTWoI6,"Washington, DC"
