screen_name,tweets,tweet_location
FinanzCashFlow,YBG_Anthony: YBG - Thought Leaders åÉ see how the best see it #GroundBreakers  https://t.co/6loJmGhUPD,"Washington, D.C."
HouselectaFM,"Gorgon City, Romans - Saving My Life (Original Mix) #NowPlaying #HOUSEMUSIC ON HOUSELECTA CLICK THE LINK &gt;&gt; https://t.co/u5uAT9LIDl","Washington, D.C."
FinanzCashFlow,YBG_Anthony: A new way of looking #DMZ - Finding the way #TrendSetters  https://t.co/4nMSpMRiDC,"Washington Township, NJ"
topnewscenter,Matter: DNA of Ancient Children Offers Clues on How People Settled the Americas https://t.co/J94HuLUixu https://t.co/mUdLK95wzg,"Washington Township, NJ"
FinanzCashFlow,YBG_Anthony: Live on OnIt Tv  from the Rugby World Cup 2015 -  Final Sat 31st 3rd &amp; 4th place 30th Oct #rwc2015 #c‰Û_ https://t.co/A9ppl1p8qT,Washington DC 
TScpSagittarius,How does The Sun affect Sagittarius? Read more about The Sun in Sagittarius here:  https://t.co/gr597CUb3h,Washington DC 
StereoBlogging,Earl Sweatshirt Says Drake Exploits Young Rappers https://t.co/SCFYs44DiR [EN],Washington DC 
AlisonCooperVA,Improvements to AU leave in Xero: how the changes could affect you https://t.co/ndnfC5TUFd #xero,Washington DC 
Koran_Inggris,Like mother like daughter - pair take refereeing skills to the ice https://t.co/3uOOIaV1P3,Washington DC 
FinanzCashFlow,YBG_Anthony: Live on OnIt Tv  from the Rugby World Cup 2015 -  Final Sat 31st 3rd &amp; 4th place 30th Oct #rwc2015 #T‰Û_ https://t.co/A9ppl1p8qT,Washington DC 
MMMPublications,Booksie: What Is Going On Here?: This haiku poem is an answer to the question that happens to be ... https://t.co/IEqhk4Mcdm #Books #News,Washington DC 
EbookPromoTeam,12‰ªâ24‰ªÛ36‰Û_The Beginning‰Û_The End‰Û_The Beginning - Available on #Amazon - https://t.co/dYdJ4YI10D @Gilmore1Mike https://t.co/VfsVHcj3WL,Washington DC
Its_Wikipedia,"""The ""what ifs"" and ""should haves"" will eat your brain."" - John O'Callaghan",Washington DC
Gaming_Area,"Destiny's Halloween event adds masks, quests, and the Thriller dance https://t.co/1mMtygR7Nc (via @GamesRadar)",Washington DC
Benjinho_HD,The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/G7QPaBvtHo,Washington DC
NEWSorNOTHING,Art installation in Italy ended up in the bin by cleaners who thought it was rubbish | Read: https://t.co/0bFZqfnzD1 by Telegraph,Washington DC
SMNET,Catch of the week 26/10/15 is up and ready for discussion - head over to #SMNET https://t.co/kkZ4rFzgm7,Washington D.C.
247HH,"Nelly Had An Instagram Spat Involving Ashanti And Miss Jackson, And Floyd Mayweather Chimed In 
https://t.co/rYdbuWaMYJ",Washington D.C.
foramotherslove,"Video: A Child Can Save Her Mother. The Mother Child Connection And Bond
https://t.co/69IgM3uG3K  #video #mother #child #infant #love",Washington D.C.
ABLEWORLDRADIO,"2 new followers in the last day and it is more than just stats, I use it for growing my account! Try it https://t.co/oBhc1Vs2hw",Washington D.C
YBGDEMS,Free Subscription for 1 Year Jeeves and Porter Concierge to all #DMZ Clients in 2015 #Concierge https://t.co/x5NPdfBZ99,"Washed, FL"
CrisisGroup,Many thanks @FALiveEvents for a great day of debate in New York and @donpollard for all the fine photos! https://t.co/3enFecbVuq,"Waltham, MA"
gayfriendschat,Out Of The Closet And Straight To Jail: The New Plan To Punish Coming Out In Russia https://t.co/oIpZ0JPFuz...,"Wagoner, OK"
TheFootyPortal,FA Cup first round draw: Ryan Giggs and Gary Neville's Salford City host Notts County:  https://t.co/oNYdY7P4xV,"Waco, Tx"
DoctorTweetz,"Not getting results with your twitter marketing? Get weekly following, auto tweets and more only $50wk! https://t.co/D9wdm4Tw1n",Waco TX
SonyMusicGlobal,"Pre-order @OldDominion‰Ûªs debut album #MeatandCandy now on @AppleMusic, featuring #BreakUpWithHim &amp; #Snapback! https://t.co/RdkM9lccZx",Waco TX
cloudpsi,"The Cloud Grows Faster, And The Rich Get Richer - https://t.co/KBgTTSxYGL","visalia, california"
SextraBad,Don't you love the way the #penis and #vagina icons run on the board? https://t.co/0mErz4GP8L #spank #master #perv https://t.co/o8UvAub2ux,"Virginia Beach, VA. 23451"
cloudpsi,Larry Ellison Kicks Off Oracle OpenWorld 2015 With Introduction of New Oracle Cloud Services and Ease-of-Use ... - https://t.co/5HMseA7Kdw,"Virginia Beach, VA"
favhouse,"#home #decor House Things Including Sofa, Ralph Lauren Home Furniture, Accent Table And Se‰Û_ https://t.co/1hVcn7wmvi https://t.co/tuUq0dQTaE","Virginia Beach, VA"
futuresagency,"Enjoy Gerd Leonhard`s Keynote ""Digital Ethics"" on SoundCloud https://t.co/iC4na4hgmX","Vernon Hills, IL"
EC_Everything,"AUSTIN, TX - Don't miss Easton with @jrodfromoz &amp; @WaterlooRev on Nov 21st at The Moody Theater! https://t.co/OJbCwe8Sh7 -Kayla","Vermont, Burlington"
iam_Qcee,"Build a Transforming Workbench, Desk, and Storage Unit: If you don‰Ûªt have a lot of space, you need to make cre... https://t.co/RK64x6izfy","Vermont, Burlington"
favhouse,"#home #decor Decor Things Featuring Mod Made Sofa, Beige Rug, J. Queen New York Bedding An‰Û_ https://t.co/NuF1R9mwuO https://t.co/k3UZUL2xyc","Vermont, Burlington"
OximityLaborRts,How Scott Walker and the Kochs Are Making Wisconsin Corruption-Friendly https://t.co/SwuAgTEnU1 by @theprospect https://t.co/Imv9A4dJX8,"Vermont, Burlington"
